dataset,mode,model,map,recall,precision_at_10,ndcg,num_queries,elapsed_sec
touche,baseline,tfidf,0.04272899488583001,0.06846196398545634,0.32653061224489793,0.17996030263510762,49,45.85
touche,baseline,bm25,0.13010858290177835,0.14663830859536947,0.7081632653061225,0.40999856625697156,49,102.21
touche,baseline,embedding,0.02389197480325424,0.04928464611946707,0.2306122448979592,0.11727542764072625,49,14.96
touche,baseline,hybrid_serial,0.04112235355759205,0.07355085160524799,0.35306122448979593,0.18735986791499953,49,198.63
touche,baseline,hybrid_parallel,0.06649082436168875,0.09347254020957807,0.44285714285714284,0.2671858903525521,49,38.79
touche,baseline,vector_store,0.02389197480325424,0.04928464611946707,0.2306122448979592,0.11727542764072625,49,10.58
